,1	借
.1	須
p1	象
y1	請
r1	ヵ
l1	温
a1	ゎ
o1	探
e1	ヱ
u1	境
i1	系
d1	ゑ
h1	盛
t1	ヶ
n1	依
s1	ゐ
;1	捕
q1	ヮ
j1	革
k1	突
m1	繊
w1	ヰ
/1	訳
,2	枚
.2	乱
p2	漁
y2	尚
f2	穏
r2	縁
l2	域
a2	於
o2	責
e2	宴
u2	賀
i2	岸
d2	乙
h2	益
t2	曳
n2	織
s2	汚
;2	荒
q2	丑
j2	援
k2	周
m2	父
w2	臼
/2	香
,3	模
.3	降
p3	糖
y3	舎
f3	却
g3	享
r3	脅
l3	処
a3	奇
o3	丘
e3	狭
u3	喜
i3	幹
d3	菊
h3	康
t3	驚
n3	譲
s3	既
;3	ぜ
q3	鬼
j3	徒
k3	景
m3	ヘ
w3	虚
/3	走
,4	彦
.4	均
p4	固
y4	布
f4	困
g4	昏
r4	后
l4	漢
a4	巧
o4	恵
e4	黄
u4	苦
i4	圧
d4	懇
h4	邦
t4	耕
n4	激
s4	克
;4	緊
q4	孤
j4	舞
k4	雑
m4	干
w4	誇
/4	又
,5	散
.5	笑
p5	押
y5	姿
r5	卜
l5	肉
o5	秘
e5	貌
u5	絶
i5	密
h5	衆
n5	測
;5	除
q5	奉
j5	節
k5	杉
m5	血
w5	某
/5	弁
f6	底
g6	亜
c6	樹
r6	移
a6	償
e6	著
d6	努
t6	郷
s6	欧
q6	湖
x6	硝
b6	礎
w6	礼
v6	句
z6	禁
p7	宣
f7	維
g7	脱
c7	源
r7	塩
l7	尊
a7	紅
o7	遷
e7	郵
u7	星
i7	析
d7	豪
h7	鼠
t7	群
s7	傷
q7	端
j7	曹
k7	奏
x7	被
b7	臨
w7	飾
v7	願
z7	絹
p8	蒸
y8	庶
f8	腕
g8	暴
c8	渉
r8	危
a8	舗
o8	称
e8	順
u8	粧
i8	丈
d8	喫
t8	砂
s8	充
q8	刷
x8	慶
b8	併
w8	寿
v8	竜
z8	批
89	＞
p9	帳
f9	柄
g9	魚
c9	揮
r9	札
a9	輪
o9	尼
e9	片
u9	乃
i9	如
d9	操
t9	乞
s9	倒
q9	震
x9	駐
b9	鮮
w9	扱
v9	丹
z9	就
p0	累
y0	欄
f0	牛
g0	釈
c0	創
r0	訴
a0	則
o0	慮
e0	票
u0	龍
i0	略
d0	倍
t0	遺
s0	存
q0	弘
x0	潟
b0	皮
w0	痛
v0	背
z0	綱
1,	留
2,	列
3,	刻
4,	豆
5,	看
,,	夫
.,	食
p,	補
y,	伺
f,	栄
g,	ザ
c,	乗
r,	具
l,	決
a,	左
o,	許
e,	介
u,	迎
i,	華
d,	花
h,	調
t,	失
n,	団
s,	態
;,	ミ
q,	竹
j,	混
k,	ポ
x,	払
b,	状
m,	計
w,	注
v,	庫
z,	州
/,	総
1.	替
2.	沼
3.	?
4.	辞
5.	献
,.	ょ
..	価
p.	冷
y.	復
f.	型
g.	誰
c.	津
r.	答
l.	択
a.	ぬ
o.	ユ
e.	究
u.	並
i.	浦
d.	警
h.	組
t.	養
n.	戸
s.	展
;.	体
q.	ゅ
j.	選
k.	党
x.	満
b.	遊
m.	ひ
w.	修
v.	準
z.	例
/.	与
1p	唱
2p	暮
3p	憲
4p	勉
5p	罪
8p	盾
9p	虫
,p	難
.p	普
pp	募
yp	無
fp	然
gp	確
cp	秋
rp	児
lp	語
ap	令
op	解
ep	提
up	石
ip	屋
dp	装
hp	優
tp	敷
np	示
sp	違
;p	演
qp	故
jp	公
kp	品
xp	悪
bp	便
mp	即
wp	鉱
vp	非
zp	券
/p	辺
1y	簡
2y	徴
3y	触
4y	宗
5y	植
7y	索
8y	射
